level_0,level_1,level_2,correct_data
12,0,15,1.3238337912204702e-07
12,0,16,-8.631668735162073e-07
12,0,17,-2.625614472906879e-06
12,0,18,-4.531947774240899e-06
12,0,19,-5.895734372275647e-06
12,0,20,-6.477260563882224e-06
12,0,21,-6.262404442716827e-06
12,0,22,-5.490118282932687e-06
12,0,23,-4.308038178881267e-06
12,0,24,-2.9784813239525077e-06
12,1,0,2.4274724999229046e-06
12,1,1,7.663267866114419e-06
12,1,2,1.314250131629409e-05
12,1,3,1.624665189063775e-05
12,1,4,1.5172663778311216e-05
12,1,5,1.078770162780138e-05
12,1,6,5.752613373488945e-06
12,1,7,2.9821225769947847e-06
12,1,8,3.3892629794806306e-06
12,1,9,6.05748982638571e-06
12,1,10,8.815876339612547e-06
12,1,11,9.939502490714227e-06
12,1,12,8.130911858840462e-06
12,1,13,3.161943142736414e-06
12,1,14,-4.419235913160046e-06
12,1,15,-1.2418820009288487e-05
12,1,16,-1.8115552936074177e-05
12,1,17,-1.9221174002195503e-05
12,1,18,-1.6158666644281393e-05
12,1,19,-1.1470987545126861e-05
12,1,20,-8.571490744029963e-06
12,1,21,-8.463475513659051e-06
12,1,22,-9.473145614909313e-06
12,1,23,-8.062194803725104e-06
12,1,24,-2.496534617333257e-06
13,0,0,-6.387284615492963e-06
13,0,1,-7.460689196010144e-06
13,0,2,-7.668628064168661e-06
13,0,3,-6.3683853153085e-06
13,0,4,-4.080976638636203e-06
13,0,5,-2.0953977894632743e-06
13,0,6,-1.4080549800106132e-06
13,0,7,-1.9477877066606682e-06
13,0,8,-2.8191422154021214e-06
13,0,9,-3.2041728013584056e-06
13,0,10,-3.095961847724755e-06
13,0,11,-3.1239917472553134e-06
13,0,12,-3.8244434678378464e-06
13,0,13,-5.012916955940118e-06
13,0,14,-5.993023385771897e-06
13,0,15,-6.238951120593787e-06
13,0,16,-5.9400336770718334e-06
13,0,17,-5.766740736801038e-06
13,0,18,-6.226231291303131e-06
13,0,19,-7.145215310690406e-06
13,0,20,-7.898567245693015e-06
13,0,21,-8.029880820287476e-06
13,0,22,-7.755601952401576e-06
13,0,23,-7.687699076955377e-06
13,0,24,-8.191493665626176e-06
13,1,0,1.1763841933078569e-05
13,1,1,1.0482563968022373e-05
13,1,2,1.0512666787908102e-05
13,1,3,1.09264890661685e-05
13,1,4,1.100740935757621e-05
13,1,5,1.0852857829207296e-05
13,1,6,1.1020199763656774e-05
13,1,7,1.187997494948059e-05
13,1,8,1.3326913375156569e-05
13,1,9,1.5009616841705391e-05
13,1,10,1.66295404346405e-05
13,1,11,1.7971975007142495e-05
13,1,12,1.8651919077085984e-05
13,1,13,1.8022611307317183e-05
13,1,14,1.5466356356592568e-05
13,1,15,1.0947510035624875e-05
13,1,16,5.325181780106302e-06
13,1,17,1.2441876336968288e-07
13,1,18,-3.1478958149592693e-06
13,1,19,-3.6837639166649634e-06
13,1,20,-1.750183063154508e-06
13,1,21,1.4508453421246029e-06
13,1,22,4.302654333964426e-06
13,1,23,5.603536639508405e-06
13,1,24,5.194687478351405e-06
14,0,0,3.3349263545819054e-07
14,0,1,5.61595615364406e-07
14,0,2,1.6325810991003967e-07
14,0,3,-1.4062748260043067e-06
14,0,4,-3.5297580851252456e-06
14,0,5,-4.9028750075455745e-06
14,0,6,-4.746659467645502e-06
14,0,7,-3.379307650326678e-06
14,0,8,-1.8833909333420493e-06
14,0,9,-1.0640261438611597e-06
14,0,10,-9.219220511156624e-07
14,0,11,-8.125212964954232e-07
14,0,12,-2.1727110248300022e-07
14,0,13,9.234148047919261e-07
14,0,14,2.2816381146025e-06
14,0,15,3.6561120031380944e-06
14,0,16,5.0981005947753864e-06
14,0,17,6.839959780396293e-06
14,0,18,8.920211390567366e-06
14,0,19,1.1149705262757169e-05
14,0,20,1.3102442803456524e-05
14,0,21,1.4370038330015363e-05
14,0,22,1.4576179309020625e-05
14,0,23,1.3586730549473023e-05
14,0,24,1.1551677188674763e-05
14,1,0,2.2154486544403973e-05
14,1,1,2.0461097606343736e-05
14,1,2,1.8581556200333773e-05
14,1,3,1.86369888118392e-05
14,1,4,2.118401348259692e-05
14,1,5,2.4499249776814124e-05
14,1,6,2.6237595402450785e-05
14,1,7,2.5229584219561276e-05
14,1,8,2.2455035985243107e-05
14,1,9,1.997617685200537e-05
14,1,10,1.9566208648550635e-05
14,1,11,2.146389629312077e-05
14,1,12,2.4671093346306577e-05
14,1,13,2.749142918257309e-05
14,1,14,2.8678964435927034e-05
14,1,15,2.7873265623089153e-05
14,1,16,2.613198051053256e-05
14,1,17,2.5354468757912045e-05
14,1,18,2.747455187103974e-05
14,1,19,3.283507588818782e-05
14,1,20,3.9830527978286555e-05
14,1,21,4.539955475031665e-05
14,1,22,4.715490283395949e-05
14,1,23,4.452963251385289e-05
14,1,24,3.9096727269280354e-05
15,0,0,-3.8569442614900016e-08
15,0,1,-1.4860112281410762e-06
15,0,2,-3.2593260160872857e-06
15,0,3,-4.872412391550464e-06
15,0,4,-5.4302782600367915e-06
15,0,5,-4.463432626952344e-06
15,0,6,-2.4618250248154624e-06
15,0,7,-6.354982000739277e-07
15,0,8,1.1235047335571847e-07
15,0,9,-1.1308028602134744e-07
15,0,10,-3.1122959180646426e-07
15,0,11,3.7156428887802505e-07
15,0,12,1.8273778823093005e-06
15,0,13,2.9826082471727685e-06
15,0,14,2.8570475904506266e-06
15,0,15,1.5013228445219948e-06
15,0,16,1.2889510309088777e-07
15,0,17,4.637106554559389e-08
15,0,18,1.5422831213698067e-06
15,0,19,3.4898596433575763e-06
15,0,20,4.267193498811773e-06
15,0,21,2.9627397894196547e-06
15,0,22,9.57314355841516e-08
15,0,23,-2.9680603335043086e-06
